Mod:Item:MetaData, Localized Name
hbm:tile.ore_redstone:12, Redstone Ore
hbm:tile.ore_lapis:0, Lapis Lazuli Ore
hbm:tile.ore_lapis:1, Lapis Lazuli Ore
hbm:tile.ore_lapis:2, Lapis Lazuli Ore
hbm:tile.ore_lapis:3, Lapis Lazuli Ore
hbm:tile.ore_lapis:4, Lapis Lazuli Ore
hbm:tile.ore_lapis:5, Lapis Lazuli Ore
hbm:tile.ore_lapis:6, Lapis Lazuli Ore
hbm:tile.ore_lapis:7, Lapis Lazuli Ore
hbm:tile.ore_lapis:8, Lapis Lazuli Ore
hbm:tile.ore_lapis:9, Lapis Lazuli Ore
hbm:tile.ore_lapis:10, Lapis Lazuli Ore
hbm:tile.ore_lapis:11, Lapis Lazuli Ore
hbm:tile.ore_lapis:12, Lapis Lazuli Ore
hbm:tile.ore_emerald:0, Emerald Ore
hbm:tile.ore_emerald:1, Emerald Ore
hbm:tile.ore_emerald:2, Emerald Ore
hbm:tile.ore_emerald:3, Emerald Ore
hbm:tile.ore_emerald:4, Emerald Ore
hbm:tile.ore_emerald:5, Emerald Ore
hbm:tile.ore_emerald:6, Emerald Ore
hbm:tile.ore_emerald:7, Emerald Ore
hbm:tile.ore_emerald:8, Emerald Ore
hbm:tile.ore_emerald:9, Emerald Ore
hbm:tile.ore_emerald:10, Emerald Ore
hbm:tile.ore_emerald:11, Emerald Ore
hbm:tile.ore_emerald:12, Emerald Ore
hbm:tile.ore_quartz:0, Quartz Ore
hbm:tile.ore_quartz:1, Quartz Ore
hbm:tile.ore_quartz:2, Quartz Ore
hbm:tile.ore_quartz:3, Quartz Ore
hbm:tile.ore_quartz:4, Quartz Ore
hbm:tile.ore_quartz:5, Quartz Ore
hbm:tile.ore_quartz:6, Quartz Ore
hbm:tile.ore_quartz:7, Quartz Ore
hbm:tile.ore_quartz:8, Quartz Ore
hbm:tile.ore_quartz:9, Quartz Ore
hbm:tile.ore_quartz:10, Quartz Ore
hbm:tile.ore_quartz:11, Quartz Ore
hbm:tile.ore_quartz:12, Quartz Ore
hbm:tile.ore_diamond:0, Diamond Ore
hbm:tile.ore_diamond:1, Diamond Ore
hbm:tile.ore_diamond:2, Diamond Ore
hbm:tile.ore_diamond:3, Diamond Ore
hbm:tile.ore_diamond:4, Diamond Ore
hbm:tile.ore_diamond:5, Diamond Ore
hbm:tile.ore_diamond:6, Diamond Ore
hbm:tile.ore_diamond:7, Diamond Ore
hbm:tile.ore_diamond:8, Diamond Ore
hbm:tile.ore_diamond:9, Diamond Ore
hbm:tile.ore_diamond:10, Diamond Ore
hbm:tile.ore_diamond:11, Diamond Ore
hbm:tile.ore_diamond:12, Diamond Ore
hbm:tile.ore_uranium:0, Uranium Ore
hbm:tile.ore_uranium:1, Uranium Ore
hbm:tile.ore_uranium:2, Uranium Ore
hbm:tile.ore_uranium:3, Uranium Ore
hbm:tile.ore_uranium:4, Uranium Ore
hbm:tile.ore_uranium:5, Uranium Ore
hbm:tile.ore_uranium:6, Uranium Ore
hbm:tile.ore_uranium:7, Uranium Ore
hbm:tile.ore_uranium:8, Uranium Ore
hbm:tile.ore_uranium:9, Uranium Ore
hbm:tile.ore_uranium:10, Uranium Ore
hbm:tile.ore_uranium:11, Uranium Ore
hbm:tile.ore_uranium:12, Uranium Ore
hbm:tile.ore_uranium_scorched, Scorched Uranium Ore
hbm:tile.ore_plutonium:0, Plutonium Ore
hbm:tile.ore_plutonium:1, Plutonium Ore
hbm:tile.ore_plutonium:2, Plutonium Ore
hbm:tile.ore_plutonium:3, Plutonium Ore
hbm:tile.ore_plutonium:4, Plutonium Ore
hbm:tile.ore_plutonium:5, Plutonium Ore
hbm:tile.ore_plutonium:6, Plutonium Ore
hbm:tile.ore_plutonium:7, Plutonium Ore
hbm:tile.ore_plutonium:8, Plutonium Ore
hbm:tile.ore_plutonium:9, Plutonium Ore
hbm:tile.ore_plutonium:10, Plutonium Ore
hbm:tile.ore_plutonium:11, Plutonium Ore
hbm:tile.ore_plutonium:12, Plutonium Ore
hbm:tile.ore_thorium:0, Thorium Ore
hbm:tile.ore_thorium:1, Thorium Ore
hbm:tile.ore_thorium:2, Thorium Ore
hbm:tile.ore_thorium:3, Thorium Ore
hbm:tile.ore_thorium:4, Thorium Ore
hbm:tile.ore_thorium:5, Thorium Ore
hbm:tile.ore_thorium:6, Thorium Ore
hbm:tile.ore_thorium:7, Thorium Ore
hbm:tile.ore_thorium:8, Thorium Ore
hbm:tile.ore_thorium:9, Thorium Ore
hbm:tile.ore_thorium:10, Thorium Ore
hbm:tile.ore_thorium:11, Thorium Ore
hbm:tile.ore_thorium:12, Thorium Ore
hbm:tile.ore_morkite:0, Morkite Ore
hbm:tile.ore_morkite:1, Morkite Ore
hbm:tile.ore_morkite:2, Morkite Ore
hbm:tile.ore_morkite:3, Morkite Ore
hbm:tile.ore_morkite:4, Morkite Ore
hbm:tile.ore_morkite:5, Morkite Ore
hbm:tile.ore_morkite:6, Morkite Ore
hbm:tile.ore_morkite:7, Morkite Ore
hbm:tile.ore_morkite:8, Morkite Ore
hbm:tile.ore_morkite:9, Morkite Ore
hbm:tile.ore_morkite:10, Morkite Ore
hbm:tile.ore_morkite:11, Morkite Ore
hbm:tile.ore_morkite:12, Morkite Ore
hbm:tile.ore_titanium:0, Titanium Ore
hbm:tile.ore_titanium:1, Titanium Ore
hbm:tile.ore_titanium:2, Titanium Ore
hbm:tile.ore_titanium:3, Titanium Ore
hbm:tile.ore_titanium:4, Titanium Ore
hbm:tile.ore_titanium:5, Titanium Ore
hbm:tile.ore_titanium:6, Titanium Ore
hbm:tile.ore_titanium:7, Titanium Ore
hbm:tile.ore_titanium:8, Titanium Ore
hbm:tile.ore_titanium:9, Titanium Ore
hbm:tile.ore_titanium:10, Titanium Ore
hbm:tile.ore_titanium:11, Titanium Ore
hbm:tile.ore_titanium:12, Titanium Ore
hbm:tile.ore_sulfur:0, Sulfur Ore
hbm:tile.ore_sulfur:1, Sulfur Ore
hbm:tile.ore_sulfur:2, Sulfur Ore
hbm:tile.ore_sulfur:3, Sulfur Ore
hbm:tile.ore_sulfur:4, Sulfur Ore
hbm:tile.ore_sulfur:5, Sulfur Ore
hbm:tile.ore_sulfur:6, Sulfur Ore
hbm:tile.ore_sulfur:7, Sulfur Ore
hbm:tile.ore_sulfur:8, Sulfur Ore
hbm:tile.ore_sulfur:9, Sulfur Ore
hbm:tile.ore_sulfur:10, Sulfur Ore
hbm:tile.ore_sulfur:11, Sulfur Ore
hbm:tile.ore_sulfur:12, Sulfur Ore
hbm:tile.ore_glowstone:0, Glowstone Ore
hbm:tile.ore_glowstone:1, Glowstone Ore
hbm:tile.ore_glowstone:2, Glowstone Ore
hbm:tile.ore_glowstone:3, Glowstone Ore
hbm:tile.ore_glowstone:4, Glowstone Ore
hbm:tile.ore_glowstone:5, Glowstone Ore
hbm:tile.ore_glowstone:6, Glowstone Ore
hbm:tile.ore_glowstone:7, Glowstone Ore
hbm:tile.ore_glowstone:8, Glowstone Ore
hbm:tile.ore_glowstone:9, Glowstone Ore
hbm:tile.ore_glowstone:10, Glowstone Ore
hbm:tile.ore_glowstone:11, Glowstone Ore
hbm:tile.ore_glowstone:12, Glowstone Ore
hbm:tile.ore_niter:0, Niter Ore
hbm:tile.ore_niter:1, Niter Ore
hbm:tile.ore_niter:2, Niter Ore
hbm:tile.ore_niter:3, Niter Ore
hbm:tile.ore_niter:4, Niter Ore
hbm:tile.ore_niter:5, Niter Ore
hbm:tile.ore_niter:6, Niter Ore
hbm:tile.ore_niter:7, Niter Ore
hbm:tile.ore_niter:8, Niter Ore
hbm:tile.ore_niter:9, Niter Ore
hbm:tile.ore_niter:10, Niter Ore
hbm:tile.ore_niter:11, Niter Ore
hbm:tile.ore_niter:12, Niter Ore
hbm:tile.ore_copper:0, Copper Ore
hbm:tile.ore_copper:1, Copper Ore
hbm:tile.ore_copper:2, Copper Ore
hbm:tile.ore_copper:3, Copper Ore
hbm:tile.ore_copper:4, Copper Ore
hbm:tile.ore_copper:5, Copper Ore
hbm:tile.ore_copper:6, Copper Ore
hbm:tile.ore_copper:7, Copper Ore
hbm:tile.ore_copper:8, Copper Ore
hbm:tile.ore_copper:9, Copper Ore
hbm:tile.ore_copper:10, Copper Ore
hbm:tile.ore_copper:11, Copper Ore
hbm:tile.ore_copper:12, Copper Ore
hbm:tile.ore_nickel:0, Nickel Ore
hbm:tile.ore_nickel:1, Nickel Ore
hbm:tile.ore_nickel:2, Nickel Ore
hbm:tile.ore_nickel:3, Nickel Ore
hbm:tile.ore_nickel:4, Nickel Ore
hbm:tile.ore_nickel:5, Nickel Ore
hbm:tile.ore_nickel:6, Nickel Ore
hbm:tile.ore_nickel:7, Nickel Ore
hbm:tile.ore_nickel:8, Nickel Ore
hbm:tile.ore_nickel:9, Nickel Ore
hbm:tile.ore_nickel:10, Nickel Ore
hbm:tile.ore_nickel:11, Nickel Ore
hbm:tile.ore_nickel:12, Nickel Ore
hbm:tile.ore_mineral:0, Rich Mineral Deposit
hbm:tile.ore_mineral:1, Rich Mineral Deposit
hbm:tile.ore_mineral:2, Rich Mineral Deposit
hbm:tile.ore_mineral:3, Rich Mineral Deposit
hbm:tile.ore_mineral:4, Rich Mineral Deposit
hbm:tile.ore_mineral:5, Rich Mineral Deposit
hbm:tile.ore_mineral:6, Rich Mineral Deposit
hbm:tile.ore_mineral:7, Rich Mineral Deposit
hbm:tile.ore_mineral:8, Rich Mineral Deposit
hbm:tile.ore_mineral:9, Rich Mineral Deposit
hbm:tile.ore_mineral:10, Rich Mineral Deposit
hbm:tile.ore_mineral:11, Rich Mineral Deposit
hbm:tile.ore_mineral:12, Rich Mineral Deposit
hbm:tile.ore_zinc:0, Zinc Ore
hbm:tile.ore_zinc:1, Zinc Ore
hbm:tile.ore_zinc:2, Zinc Ore
hbm:tile.ore_zinc:3, Zinc Ore
hbm:tile.ore_zinc:4, Zinc Ore
hbm:tile.ore_zinc:5, Zinc Ore
hbm:tile.ore_zinc:6, Zinc Ore
hbm:tile.ore_zinc:7, Zinc Ore
hbm:tile.ore_zinc:8, Zinc Ore
hbm:tile.ore_zinc:9, Zinc Ore
hbm:tile.ore_zinc:10, Zinc Ore
hbm:tile.ore_zinc:11, Zinc Ore
hbm:tile.ore_zinc:12, Zinc Ore
hbm:tile.ore_tungsten:0, Tungsten Ore
hbm:tile.ore_tungsten:1, Tungsten Ore
hbm:tile.ore_tungsten:2, Tungsten Ore
hbm:tile.ore_tungsten:3, Tungsten Ore
hbm:tile.ore_tungsten:4, Tungsten Ore
hbm:tile.ore_tungsten:5, Tungsten Ore
hbm:tile.ore_tungsten:6, Tungsten Ore
hbm:tile.ore_tungsten:7, Tungsten Ore
hbm:tile.ore_tungsten:8, Tungsten Ore
hbm:tile.ore_tungsten:9, Tungsten Ore
hbm:tile.ore_tungsten:10, Tungsten Ore
hbm:tile.ore_tungsten:11, Tungsten Ore
hbm:tile.ore_tungsten:12, Tungsten Ore
hbm:tile.ore_aluminium:0, Aluminium-Bearing Ore
hbm:tile.ore_aluminium:1, Aluminium-Bearing Ore
hbm:tile.ore_aluminium:2, Aluminium-Bearing Ore
hbm:tile.ore_aluminium:3, Aluminium-Bearing Ore
hbm:tile.ore_aluminium:4, Aluminium-Bearing Ore
hbm:tile.ore_aluminium:5, Aluminium-Bearing Ore
hbm:tile.ore_aluminium:6, Aluminium-Bearing Ore
hbm:tile.ore_aluminium:7, Aluminium-Bearing Ore
hbm:tile.ore_aluminium:8, Aluminium-Bearing Ore
hbm:tile.ore_aluminium:9, Aluminium-Bearing Ore
hbm:tile.ore_aluminium:10, Aluminium-Bearing Ore
hbm:tile.ore_aluminium:11, Aluminium-Bearing Ore
hbm:tile.ore_aluminium:12, Aluminium-Bearing Ore
hbm:tile.ore_fluorite:0, Fluorite Ore
hbm:tile.ore_fluorite:1, Fluorite Ore
hbm:tile.ore_fluorite:2, Fluorite Ore
hbm:tile.ore_fluorite:3, Fluorite Ore
hbm:tile.ore_fluorite:4, Fluorite Ore
hbm:tile.ore_fluorite:5, Fluorite Ore
hbm:tile.ore_fluorite:6, Fluorite Ore
hbm:tile.ore_fluorite:7, Fluorite Ore
hbm:tile.ore_fluorite:8, Fluorite Ore
hbm:tile.ore_fluorite:9, Fluorite Ore
hbm:tile.ore_fluorite:10, Fluorite Ore
hbm:tile.ore_fluorite:11, Fluorite Ore
hbm:tile.ore_fluorite:12, Fluorite Ore
hbm:tile.ore_beryllium:0, Beryllium Ore
hbm:tile.ore_beryllium:1, Beryllium Ore
hbm:tile.ore_beryllium:2, Beryllium Ore
hbm:tile.ore_beryllium:3, Beryllium Ore
hbm:tile.ore_beryllium:4, Beryllium Ore
hbm:tile.ore_beryllium:5, Beryllium Ore
hbm:tile.ore_beryllium:6, Beryllium Ore
hbm:tile.ore_beryllium:7, Beryllium Ore
hbm:tile.ore_beryllium:8, Beryllium Ore
hbm:tile.ore_beryllium:9, Beryllium Ore
hbm:tile.ore_beryllium:10, Beryllium Ore
hbm:tile.ore_beryllium:11, Beryllium Ore
hbm:tile.ore_beryllium:12, Beryllium Ore
hbm:tile.ore_lead:0, Lead Ore
hbm:tile.ore_lead:1, Lead Ore
hbm:tile.ore_lead:2, Lead Ore
hbm:tile.ore_lead:3, Lead Ore
hbm:tile.ore_lead:4, Lead Ore
hbm:tile.ore_lead:5, Lead Ore
hbm:tile.ore_lead:6, Lead Ore
hbm:tile.ore_lead:7, Lead Ore
hbm:tile.ore_lead:8, Lead Ore
hbm:tile.ore_lead:9, Lead Ore
hbm:tile.ore_lead:10, Lead Ore
hbm:tile.ore_lead:11, Lead Ore
hbm:tile.ore_lead:12, Lead Ore
hbm:tile.ore_oil:0, Oil Deposit
hbm:tile.ore_oil:1, Oil Deposit
hbm:tile.ore_oil:2, Oil Deposit
hbm:tile.ore_oil:3, Oil Deposit
hbm:tile.ore_oil:4, Oil Deposit
hbm:tile.ore_oil:5, Oil Deposit
hbm:tile.ore_oil:6, Oil Deposit
hbm:tile.ore_oil:7, Oil Deposit
hbm:tile.ore_oil:8, Oil Deposit
hbm:tile.ore_oil:9, Oil Deposit
hbm:tile.ore_oil:10, Oil Deposit
hbm:tile.ore_oil:11, Oil Deposit
hbm:tile.ore_oil:12, Oil Deposit
hbm:tile.ore_oil_empty:0, Empty Oil Deposit
hbm:tile.ore_oil_empty:1, Empty Oil Deposit
hbm:tile.ore_oil_empty:2, Empty Oil Deposit
hbm:tile.ore_oil_empty:3, Empty Oil Deposit
hbm:tile.ore_oil_empty:4, Empty Oil Deposit
hbm:tile.ore_oil_empty:5, Empty Oil Deposit
hbm:tile.ore_oil_empty:6, Empty Oil Deposit
hbm:tile.ore_oil_empty:7, Empty Oil Deposit
hbm:tile.ore_oil_empty:8, Empty Oil Deposit
hbm:tile.ore_oil_empty:9, Empty Oil Deposit
hbm:tile.ore_oil_empty:10, Empty Oil Deposit
hbm:tile.ore_oil_empty:11, Empty Oil Deposit
hbm:tile.ore_oil_empty:12, Empty Oil Deposit
hbm:tile.ore_bedrock_artery:0, Bedrock Artery
hbm:tile.ore_bedrock_concrete:0, tile.ore_bedrock_concrete.name
hbm:tile.ore_gas:0, Natural Gas Deposit
hbm:tile.ore_gas:1, Natural Gas Deposit
hbm:tile.ore_gas:2, Natural Gas Deposit
hbm:tile.ore_gas:3, Natural Gas Deposit
hbm:tile.ore_gas:4, Natural Gas Deposit
hbm:tile.ore_gas:5, Natural Gas Deposit
hbm:tile.ore_gas:6, Natural Gas Deposit
hbm:tile.ore_gas:7, Natural Gas Deposit
hbm:tile.ore_gas:8, Natural Gas Deposit
hbm:tile.ore_gas:9, Natural Gas Deposit
hbm:tile.ore_gas:10, Natural Gas Deposit
hbm:tile.ore_gas:11, Natural Gas Deposit
hbm:tile.ore_gas:12, Natural Gas Deposit
hbm:tile.ore_gas_empty:0, Empty Natural Gas Deposit
hbm:tile.ore_gas_empty:1, Empty Natural Gas Deposit
hbm:tile.ore_gas_empty:2, Empty Natural Gas Deposit
hbm:tile.ore_gas_empty:3, Empty Natural Gas Deposit
hbm:tile.ore_gas_empty:4, Empty Natural Gas Deposit
hbm:tile.ore_gas_empty:5, Empty Natural Gas Deposit
hbm:tile.ore_gas_empty:6, Empty Natural Gas Deposit
hbm:tile.ore_gas_empty:7, Empty Natural Gas Deposit
hbm:tile.ore_gas_empty:8, Empty Natural Gas Deposit
hbm:tile.ore_gas_empty:9, Empty Natural Gas Deposit
hbm:tile.ore_gas_empty:10, Empty Natural Gas Deposit
hbm:tile.ore_gas_empty:11, Empty Natural Gas Deposit
hbm:tile.ore_gas_empty:12, Empty Natural Gas Deposit
hbm:tile.ore_oil_sand, Tar Sand
hbm:tile.ore_lignite:0, Lignite Ore
hbm:tile.ore_lignite:1, Lignite Ore
hbm:tile.ore_lignite:2, Lignite Ore
hbm:tile.ore_lignite:3, Lignite Ore
hbm:tile.ore_lignite:4, Lignite Ore
hbm:tile.ore_lignite:5, Lignite Ore
hbm:tile.ore_lignite:6, Lignite Ore
hbm:tile.ore_lignite:7, Lignite Ore
hbm:tile.ore_lignite:8, Lignite Ore
hbm:tile.ore_lignite:9, Lignite Ore
hbm:tile.ore_lignite:10, Lignite Ore
hbm:tile.ore_lignite:11, Lignite Ore
hbm:tile.ore_lignite:12, Lignite Ore
hbm:tile.ore_asbestos:0, Asbestos Ore
hbm:tile.ore_asbestos:1, Asbestos Ore
hbm:tile.ore_asbestos:2, Asbestos Ore
hbm:tile.ore_asbestos:3, Asbestos Ore
hbm:tile.ore_asbestos:4, Asbestos Ore
hbm:tile.ore_asbestos:5, Asbestos Ore
hbm:tile.ore_asbestos:6, Asbestos Ore
hbm:tile.ore_asbestos:7, Asbestos Ore
hbm:tile.ore_asbestos:8, Asbestos Ore
hbm:tile.ore_asbestos:9, Asbestos Ore
hbm:tile.ore_asbestos:10, Asbestos Ore
hbm:tile.ore_asbestos:11, Asbestos Ore
hbm:tile.ore_asbestos:12, Asbestos Ore
hbm:tile.ore_schrabidium:0, Schrabidium Ore
hbm:tile.ore_schrabidium:1, Schrabidium Ore
hbm:tile.ore_schrabidium:2, Schrabidium Ore
hbm:tile.ore_schrabidium:3, Schrabidium Ore
hbm:tile.ore_schrabidium:4, Schrabidium Ore
hbm:tile.ore_schrabidium:5, Schrabidium Ore
hbm:tile.ore_schrabidium:6, Schrabidium Ore
hbm:tile.ore_schrabidium:7, Schrabidium Ore
hbm:tile.ore_schrabidium:8, Schrabidium Ore
hbm:tile.ore_schrabidium:9, Schrabidium Ore
hbm:tile.ore_schrabidium:10, Schrabidium Ore
hbm:tile.ore_schrabidium:11, Schrabidium Ore
hbm:tile.ore_schrabidium:12, Schrabidium Ore
hbm:tile.ore_lithium:0, Lithium Ore
hbm:tile.ore_lithium:1, Lithium Ore
hbm:tile.ore_lithium:2, Lithium Ore
hbm:tile.ore_lithium:3, Lithium Ore
hbm:tile.ore_lithium:4, Lithium Ore
hbm:tile.ore_lithium:5, Lithium Ore
hbm:tile.ore_lithium:6, Lithium Ore
hbm:tile.ore_lithium:7, Lithium Ore
hbm:tile.ore_lithium:8, Lithium Ore
hbm:tile.ore_lithium:9, Lithium Ore
hbm:tile.ore_lithium:10, Lithium Ore
hbm:tile.ore_lithium:11, Lithium Ore
hbm:tile.ore_lithium:12, Lithium Ore
hbm:tile.ore_niobium:0, Niobium Ore
hbm:tile.ore_niobium:1, Niobium Ore
hbm:tile.ore_niobium:2, Niobium Ore
hbm:tile.ore_niobium:3, Niobium Ore
hbm:tile.ore_niobium:4, Niobium Ore
hbm:tile.ore_niobium:5, Niobium Ore
hbm:tile.ore_niobium:6, Niobium Ore
hbm:tile.ore_niobium:7, Niobium Ore
hbm:tile.ore_niobium:8, Niobium Ore
hbm:tile.ore_niobium:9, Niobium Ore
hbm:tile.ore_niobium:10, Niobium Ore
hbm:tile.ore_niobium:11, Niobium Ore
hbm:tile.ore_niobium:12, Niobium Ore
hbm:tile.ore_cadmium:0, Cadmium Ore
hbm:tile.ore_cadmium:1, Cadmium Ore
hbm:tile.ore_cadmium:2, Cadmium Ore
hbm:tile.ore_cadmium:3, Cadmium Ore
hbm:tile.ore_cadmium:4, Cadmium Ore
hbm:tile.ore_cadmium:5, Cadmium Ore
hbm:tile.ore_cadmium:6, Cadmium Ore
hbm:tile.ore_cadmium:7, Cadmium Ore
hbm:tile.ore_cadmium:8, Cadmium Ore
hbm:tile.ore_cadmium:9, Cadmium Ore
hbm:tile.ore_cadmium:10, Cadmium Ore
hbm:tile.ore_cadmium:11, Cadmium Ore
hbm:tile.ore_cadmium:12, Cadmium Ore
hbm:tile.ore_palladium:0, Palladium Ore
hbm:tile.ore_palladium:1, Palladium Ore
hbm:tile.ore_palladium:2, Palladium Ore
hbm:tile.ore_palladium:3, Palladium Ore
hbm:tile.ore_palladium:4, Palladium Ore
hbm:tile.ore_palladium:5, Palladium Ore
hbm:tile.ore_palladium:6, Palladium Ore
hbm:tile.ore_palladium:7, Palladium Ore
hbm:tile.ore_palladium:8, Palladium Ore
hbm:tile.ore_palladium:9, Palladium Ore
hbm:tile.ore_palladium:10, Palladium Ore
hbm:tile.ore_palladium:11, Palladium Ore
hbm:tile.ore_palladium:12, Palladium Ore
hbm:tile.ore_iodine:0, Iodine Ore
hbm:tile.ore_iodine:1, Iodine Ore
hbm:tile.ore_iodine:2, Iodine Ore
hbm:tile.ore_iodine:3, Iodine Ore
hbm:tile.ore_iodine:4, Iodine Ore
hbm:tile.ore_iodine:5, Iodine Ore
hbm:tile.ore_iodine:6, Iodine Ore
hbm:tile.ore_iodine:7, Iodine Ore
hbm:tile.ore_iodine:8, Iodine Ore
hbm:tile.ore_iodine:9, Iodine Ore
hbm:tile.ore_iodine:10, Iodine Ore
hbm:tile.ore_iodine:11, Iodine Ore
hbm:tile.ore_iodine:12, Iodine Ore
hbm:tile.ore_arsenic:0, Arsenic Ore
hbm:tile.ore_arsenic:1, Arsenic Ore
hbm:tile.ore_arsenic:2, Arsenic Ore
hbm:tile.ore_arsenic:3, Arsenic Ore
hbm:tile.ore_arsenic:4, Arsenic Ore
hbm:tile.ore_arsenic:5, Arsenic Ore
hbm:tile.ore_arsenic:6, Arsenic Ore
hbm:tile.ore_arsenic:7, Arsenic Ore
hbm:tile.ore_arsenic:8, Arsenic Ore
hbm:tile.ore_arsenic:9, Arsenic Ore
hbm:tile.ore_arsenic:10, Arsenic Ore
hbm:tile.ore_arsenic:11, Arsenic Ore
hbm:tile.ore_arsenic:12, Arsenic Ore
hbm:tile.ore_silicon:0, Silicon Ore
hbm:tile.ore_silicon:1, Silicon Ore
hbm:tile.ore_silicon:2, Silicon Ore
hbm:tile.ore_silicon:3, Silicon Ore
hbm:tile.ore_silicon:4, Silicon Ore
hbm:tile.ore_silicon:5, Silicon Ore
hbm:tile.ore_silicon:6, Silicon Ore
hbm:tile.ore_silicon:7, Silicon Ore
hbm:tile.ore_silicon:8, Silicon Ore
hbm:tile.ore_silicon:9, Silicon Ore
hbm:tile.ore_silicon:10, Silicon Ore
hbm:tile.ore_silicon:11, Silicon Ore
hbm:tile.ore_silicon:12, Silicon Ore
hbm:tile.ore_fire:0, Phosphorus Ore
hbm:tile.ore_fire:1, Phosphorus Ore
hbm:tile.ore_fire:2, Phosphorus Ore
hbm:tile.ore_fire:3, Phosphorus Ore
hbm:tile.ore_fire:4, Phosphorus Ore
hbm:tile.ore_fire:5, Phosphorus Ore
hbm:tile.ore_fire:6, Phosphorus Ore
hbm:tile.ore_fire:7, Phosphorus Ore
hbm:tile.ore_fire:8, Phosphorus Ore
hbm:tile.ore_fire:9, Phosphorus Ore
hbm:tile.ore_fire:10, Phosphorus Ore
hbm:tile.ore_fire:11, Phosphorus Ore
hbm:tile.ore_fire:12, Phosphorus Ore
hbm:tile.ore_shale:0, Natural Gas Shale
hbm:tile.ore_shale:1, Natural Gas Shale
hbm:tile.ore_shale:2, Natural Gas Shale
hbm:tile.ore_shale:3, Natural Gas Shale
hbm:tile.ore_shale:4, Natural Gas Shale
hbm:tile.ore_shale:5, Natural Gas Shale
hbm:tile.ore_shale:6, Natural Gas Shale
hbm:tile.ore_shale:7, Natural Gas Shale
hbm:tile.ore_shale:8, Natural Gas Shale
hbm:tile.ore_shale:9, Natural Gas Shale
hbm:tile.ore_shale:10, Natural Gas Shale
hbm:tile.ore_shale:11, Natural Gas Shale
hbm:tile.ore_shale:12, Natural Gas Shale
hbm:tile.ore_brine:0, Brine Deposit
hbm:tile.ore_brine:1, Brine Deposit
hbm:tile.ore_brine:2, Brine Deposit
hbm:tile.ore_brine:3, Brine Deposit
hbm:tile.ore_brine:4, Brine Deposit
hbm:tile.ore_brine:5, Brine Deposit
hbm:tile.ore_brine:6, Brine Deposit
hbm:tile.ore_brine:7, Brine Deposit
hbm:tile.ore_brine:8, Brine Deposit
hbm:tile.ore_brine:9, Brine Deposit
hbm:tile.ore_brine:10, Brine Deposit
hbm:tile.ore_brine:11, Brine Deposit
hbm:tile.ore_brine:12, Brine Deposit
hbm:tile.ore_brine_empty:0, Empty Brine Deposit
hbm:tile.ore_brine_empty:1, Empty Brine Deposit
hbm:tile.ore_brine_empty:2, Empty Brine Deposit
hbm:tile.ore_brine_empty:3, Empty Brine Deposit
hbm:tile.ore_brine_empty:4, Empty Brine Deposit
hbm:tile.ore_brine_empty:5, Empty Brine Deposit
hbm:tile.ore_brine_empty:6, Empty Brine Deposit
hbm:tile.ore_brine_empty:7, Empty Brine Deposit
hbm:tile.ore_brine_empty:8, Empty Brine Deposit
hbm:tile.ore_brine_empty:9, Empty Brine Deposit
hbm:tile.ore_brine_empty:10, Empty Brine Deposit
hbm:tile.ore_brine_empty:11, Empty Brine Deposit
hbm:tile.ore_brine_empty:12, Empty Brine Deposit
hbm:tile.ore_tekto:0, Tektonic Crude Deposit
hbm:tile.ore_tekto:1, Tektonic Crude Deposit
hbm:tile.ore_tekto:2, Tektonic Crude Deposit
hbm:tile.ore_tekto:3, Tektonic Crude Deposit
hbm:tile.ore_tekto:4, Tektonic Crude Deposit
hbm:tile.ore_tekto:5, Tektonic Crude Deposit
hbm:tile.ore_tekto:6, Tektonic Crude Deposit
hbm:tile.ore_tekto:7, Tektonic Crude Deposit
hbm:tile.ore_tekto:8, Tektonic Crude Deposit
hbm:tile.ore_tekto:9, Tektonic Crude Deposit
hbm:tile.ore_tekto:10, Tektonic Crude Deposit
hbm:tile.ore_tekto:11, Tektonic Crude Deposit
hbm:tile.ore_tekto:12, Tektonic Crude Deposit
hbm:tile.ore_tekto_empty:0, Empty Tektonic Crude Deposit
hbm:tile.ore_tekto_empty:1, Empty Tektonic Crude Deposit
hbm:tile.ore_tekto_empty:2, Empty Tektonic Crude Deposit
hbm:tile.ore_tekto_empty:3, Empty Tektonic Crude Deposit
hbm:tile.ore_tekto_empty:4, Empty Tektonic Crude Deposit
hbm:tile.ore_tekto_empty:5, Empty Tektonic Crude Deposit
hbm:tile.ore_tekto_empty:6, Empty Tektonic Crude Deposit
hbm:tile.ore_tekto_empty:7, Empty Tektonic Crude Deposit
hbm:tile.ore_tekto_empty:8, Empty Tektonic Crude Deposit
hbm:tile.ore_tekto_empty:9, Empty Tektonic Crude Deposit
hbm:tile.ore_tekto_empty:10, Empty Tektonic Crude Deposit
hbm:tile.ore_tekto_empty:11, Empty Tektonic Crude Deposit
hbm:tile.ore_tekto_empty:12, Empty Tektonic Crude Deposit
hbm:tile.ore_australium:0, Australian Ore
hbm:tile.ore_australium:1, Australian Ore
hbm:tile.ore_australium:2, Australian Ore
hbm:tile.ore_australium:3, Australian Ore
hbm:tile.ore_australium:4, Australian Ore
hbm:tile.ore_australium:5, Australian Ore
hbm:tile.ore_australium:6, Australian Ore
